example_id,section_title,code_text,line_count,contains_find_all,contains_find,contains_select,contains_get_text,contains_requests
ex_47,.strings and stripped_strings ¶,"for string in soup.stripped_strings:
    print(repr(string))
# ""The Dormouse's story""
# ""The Dormouse's story""
# 'Once upon a time there were three little sisters; and their names were'
# 'Elsie'
# ','
# 'Lacie'
# 'and'
# 'Tillie'
# ';\n and they lived at the bottom of a well.'
# '...'",2,False,False,False,False,False
ex_48,.parent ¶,"title_tag = soup.title
title_tag
# <title>The Dormouse's story</title>
title_tag.parent
# <head><title>The Dormouse's story</title></head>",1,False,False,False,False,False
ex_49,.parent ¶,"title_tag.string.parent
# <title>The Dormouse's story</title>",1,False,False,False,False,False
ex_50,.parent ¶,"html_tag = soup.html
type(html_tag.parent)
# <class 'bs4.BeautifulSoup'>",1,False,False,False,False,False
ex_51,.parent ¶,"print(soup.parent)
# None",1,False,False,False,False,False
ex_52,.parents ¶,"link = soup.a
link
# <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>
for parent in link.parents:
    print(parent.name)
# p
# body
# html
# [document]",1,False,False,False,False,False
ex_53,.self_and_parents ¶,"for tag in link.self_and_parents:
    print(tag.name)
# link
# p
# body
# html
# [document]",1,False,False,False,False,False
ex_54,Going sideways ¶,"sibling_soup = BeautifulSoup(""<a><b>text1</b><c>text2</c></a>"", 'html.parser')
print(sibling_soup.prettify())
#   <a>
#    <b>
#     text1
#    </b>
#    <c>
#     text2
#    </c>
#   </a>",1,False,False,False,False,False
ex_55,.next_sibling and .previous_sibling ¶,"sibling_soup.b.next_sibling
# <c>text2</c>

sibling_soup.c.previous_sibling
# <b>text1</b>",1,False,False,False,False,False
ex_56,.next_sibling and .previous_sibling ¶,"print(sibling_soup.b.previous_sibling)
# None
print(sibling_soup.c.next_sibling)
# None",1,False,False,False,False,False
ex_57,.next_sibling and .previous_sibling ¶,"sibling_soup.b.string
# 'text1'

print(sibling_soup.b.string.next_sibling)
# None",1,False,False,False,False,False
ex_58,.next_sibling and .previous_sibling ¶,"# <a href=""http://example.com/elsie"" class=""sister"" id=""link1"">Elsie</a>,
# <a href=""http://example.com/lacie"" class=""sister"" id=""link2"">Lacie</a> and
# <a href=""http://example.com/tillie"" class=""sister"" id=""link3"">Tillie</a>;",1,False,False,False,False,False
ex_59,.next_sibling and .previous_sibling ¶,"link = soup.a
link
# <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>

link.next_sibling
# ',\n '",2,False,False,False,False,False
ex_60,.next_sibling and .previous_sibling ¶,"link.next_sibling.next_sibling
# <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>",1,False,False,False,False,False
ex_61,.next_siblings and .previous_siblings ¶,"for sibling in soup.a.next_siblings:
    print(repr(sibling))
# ',\n'
# <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>
# ' and\n'
# <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>
# '; and they lived at the bottom of a well.'

for sibling in soup.find(id=""link3"").previous_siblings:
    print(repr(sibling))
# ' and\n'
# <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>
# ',\n'
# <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>
# 'Once upon a time there were three little sisters; and their names were\n'",6,False,True,False,False,False
ex_62,Going back and forth ¶,"# <html><head><title>The Dormouse's story</title></head>
# <p class=""title""><b>The Dormouse's story</b></p>",1,False,False,False,False,False
ex_63,.next_element and .previous_element ¶,"last_a_tag = soup.find(""a"", id=""link3"")
last_a_tag
# <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>

last_a_tag.next_sibling
# ';\nand they lived at the bottom of a well.'",2,False,True,False,False,False
ex_64,.next_element and .previous_element ¶,"last_a_tag.next_element
# 'Tillie'",1,False,False,False,False,False
ex_65,.next_element and .previous_element ¶,"last_a_tag.previous_element
# ' and\n'
last_a_tag.previous_element.next_element
# <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>",2,False,False,False,False,False
ex_66,.next_elements and .previous_elements ¶,"for element in last_a_tag.next_elements:
    print(repr(element))
# 'Tillie'
# ';\nand they lived at the bottom of a well.'
# '\n'
# <p class=""story"">...</p>
# '...'
# '\n'",4,False,False,False,False,False
ex_67,Searching the tree ¶,"html_doc = """"""
<html><head><title>The Dormouse's story</title></head>
<body>
<p class=""title""><b>The Dormouse's story</b></p>

<p class=""story"">Once upon a time there were three little sisters; and their names were
<a href=""http://example.com/elsie"" class=""sister"" id=""link1"">Elsie</a>,
<a href=""http://example.com/lacie"" class=""sister"" id=""link2"">Lacie</a> and
<a href=""http://example.com/tillie"" class=""sister"" id=""link3"">Tillie</a>;
and they lived at the bottom of a well.</p>

<p class=""story"">...</p>
""""""

from bs4 import BeautifulSoup
soup = BeautifulSoup(html_doc, 'html.parser')",1,False,False,False,False,False
ex_68,A string ¶,"soup.find_all('b')
# [<b>The Dormouse's story</b>]",1,True,False,False,False,False
ex_69,A regular expression ¶,"import re
for tag in soup.find_all(re.compile(""^b"")):
    print(tag.name)
# body
# b",1,True,False,False,False,False
ex_70,A regular expression ¶,"for tag in soup.find_all(re.compile(""t"")):
    print(tag.name)
# html
# title",1,True,False,False,False,False
ex_71,True ¶,"for tag in soup.find_all(True):
    print(tag.name)
# html
# head
# title
# body
# p
# b
# p
# a
# a
# a
# p",1,True,False,False,False,False
ex_72,A function ¶,"def has_class_but_no_id(tag):
    return tag.has_attr('class') and not tag.has_attr('id')",1,False,False,False,False,False
ex_73,A function ¶,"soup.find_all(has_class_but_no_id)
# [<p class=""title""><b>The Dormouse's story</b></p>,
#  <p class=""story"">Once upon a time there were…bottom of a well.</p>,
#  <p class=""story"">...</p>]",1,True,False,False,False,False
ex_74,A function ¶,"from bs4 import NavigableString
def surrounded_by_strings(tag):
    return (isinstance(tag.next_element, NavigableString)
            and isinstance(tag.previous_element, NavigableString))

for tag in soup.find_all(surrounded_by_strings):
    print(tag.name)
# body
# p
# a
# a
# a
# p",1,True,False,False,False,False
ex_75,A list ¶,"soup.find_all([""a"", ""b""])
# [<b>The Dormouse's story</b>,
#  <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]",1,True,False,False,False,False
ex_76,find_all() ¶,"soup.find_all(""title"")
# [<title>The Dormouse's story</title>]

soup.find_all(""p"", ""title"")
# [<p class=""title""><b>The Dormouse's story</b></p>]

soup.find_all(""a"")
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]

soup.find_all(id=""link2"")
# [<a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>]

import re
soup.find(string=re.compile(""sisters""))
# 'Once upon a time there were three little sisters; and their names were\n'",2,True,True,False,False,False
ex_77,The name argument ¶,"soup.find_all(""title"")
# [<title>The Dormouse's story</title>]",1,True,False,False,False,False
ex_78,The keyword arguments ¶,"soup.find_all(id='link2')
# [<a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>]",1,True,False,False,False,False
ex_79,The keyword arguments ¶,"soup.find_all(href=re.compile(""elsie""))
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>]",1,True,False,False,False,False
ex_80,The keyword arguments ¶,"soup.find_all(id=True)
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]",1,True,False,False,False,False
ex_81,The keyword arguments ¶,"import re
def not_lacie(href):
    return href and not re.compile(""lacie"").search(href)

soup.find_all(href=not_lacie)
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]",1,True,False,False,False,False
ex_82,The keyword arguments ¶,"soup.find_all(id=[""link1"", re.compile(""3$"")])
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]",1,True,False,False,False,False
ex_83,The keyword arguments ¶,"soup.find_all(href=re.compile(""elsie""), id='link1')
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>]",1,True,False,False,False,False
ex_84,The keyword arguments ¶,"data_soup = BeautifulSoup('<div data-foo=""value"">foo!</div>', 'html.parser')
data_soup.find_all(data-foo=""value"")
# SyntaxError: keyword can't be an expression",1,True,False,False,False,False
ex_85,The keyword arguments ¶,"data_soup.find_all(attrs={""data-foo"": ""value""})
# [<div data-foo=""value"">foo!</div>]",1,True,False,False,False,False
ex_86,The keyword arguments ¶,"name_soup = BeautifulSoup('<input name=""email""/>', 'html.parser')
name_soup.find_all(name=""email"")
# []
name_soup.find_all(attrs={""name"": ""email""})
# [<input name=""email""/>]",1,True,False,False,False,False
ex_87,Searching by CSS class ¶,"soup.find_all(""a"", class_=""sister"")
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]",1,True,False,False,False,False
ex_88,Searching by CSS class ¶,"soup.find_all(class_=re.compile(""itl""))
# [<p class=""title""><b>The Dormouse's story</b></p>]

def has_six_characters(css_class):
    return css_class is not None and len(css_class) == 6

soup.find_all(class_=has_six_characters)
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]",1,True,False,False,False,False
ex_89,Searching by CSS class ¶,"css_soup = BeautifulSoup('<p class=""body strikeout""></p>', 'html.parser')
css_soup.find_all(""p"", class_=""strikeout"")
# [<p class=""body strikeout""></p>]

css_soup.find_all(""p"", class_=""body"")
# [<p class=""body strikeout""></p>]",1,True,False,False,False,False
ex_90,Searching by CSS class ¶,"css_soup.find_all(""p"", class_=""body strikeout"")
# [<p class=""body strikeout""></p>]",1,True,False,False,False,False
ex_91,Searching by CSS class ¶,"css_soup.find_all(""p"", class_=""strikeout body"")
# []",1,True,False,False,False,False
ex_92,Searching by CSS class ¶,"soup.find_all(""a"", attrs={""class"": ""sister""})
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]",1,True,False,False,False,False
ex_93,Searching by CSS class ¶,"css_soup.select(""p.strikeout.body"")
# [<p class=""body strikeout""></p>]",1,False,False,True,False,False
ex_94,The string argument ¶,"soup.find_all(string=""Elsie"")
# ['Elsie']

soup.find_all(string=[""Tillie"", ""Elsie"", ""Lacie""])
# ['Elsie', 'Lacie', 'Tillie']

soup.find_all(string=re.compile(""Dormouse""))
# [""The Dormouse's story"", ""The Dormouse's story""]

def is_the_only_string_within_a_tag(s):
    """"""Return True if this string is the only child of its parent tag.""""""
    return (s == s.parent.string)

soup.find_all(string=is_the_only_string_within_a_tag)
# [""The Dormouse's story"", ""The Dormouse's story"", 'Elsie', 'Lacie', 'Tillie', '...']",1,True,False,False,False,False
ex_95,The string argument ¶,"soup.find_all(""a"", string=""Elsie"")
# [<a href=""http://example.com/elsie"" class=""sister"" id=""link1"">Elsie</a>]",1,True,False,False,False,False
ex_96,The string argument ¶,"soup.find_all(""a"", text=""Elsie"")
# [<a href=""http://example.com/elsie"" class=""sister"" id=""link1"">Elsie</a>]",1,True,False,False,False,False
ex_97,The limit argument ¶,"soup.find_all(""a"", limit=2)
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>]",1,True,False,False,False,False
ex_98,The recursive argument ¶,"soup.html.find_all(""title"")
# [<title>The Dormouse's story</title>]

soup.html.find_all(""title"", recursive=False)
# []",1,True,False,False,False,False
ex_99,The recursive argument ¶,"<html>
 <head>
  <title>
   The Dormouse's story
  </title>
 </head>
...",1,False,False,False,False,False
ex_100,Calling a tag is like calling find_all() ¶,"soup.find_all(""a"")
soup(""a"")",1,True,False,False,False,False
ex_101,Calling a tag is like calling find_all() ¶,"soup.title.find_all(string=True)
soup.title(string=True)",1,True,False,False,False,False
ex_102,find() ¶,"soup.find_all('title', limit=1)
# [<title>The Dormouse's story</title>]

soup.find('title')
# <title>The Dormouse's story</title>",1,True,True,False,False,False
ex_103,find() ¶,"print(soup.find(""nosuchtag""))
# None",1,False,True,False,False,False
