link_text,href,link_type,section_title,absolute_href
¶,#Declaration,internal_anchor,Special strings ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Declaration
NavigableString,#NavigableString,internal_anchor,Special strings ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
declaration,https://www.w3.org/TR/REC-xml/#sec-prolog-dtd,external_link,Special strings ¶,https://www.w3.org/TR/REC-xml/#sec-prolog-dtd
¶,#Doctype,internal_anchor,Special strings ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Doctype
NavigableString,#NavigableString,internal_anchor,Special strings ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
document type declaration,https://www.w3.org/TR/REC-xml/#dt-doctype,external_link,Special strings ¶,https://www.w3.org/TR/REC-xml/#dt-doctype
¶,#CData,internal_anchor,Special strings ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#CData
NavigableString,#NavigableString,internal_anchor,Special strings ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
CData section,https://www.w3.org/TR/REC-xml/#sec-cdata-sect,external_link,Special strings ¶,https://www.w3.org/TR/REC-xml/#sec-cdata-sect
¶,#ProcessingInstruction,internal_anchor,Special strings ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#ProcessingInstruction
NavigableString,#NavigableString,internal_anchor,Special strings ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
XML processing instruction,https://www.w3.org/TR/REC-xml/#sec-pi,external_link,Special strings ¶,https://www.w3.org/TR/REC-xml/#sec-pi
NavigableString,#NavigableString,internal_anchor,For HTML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
¶,#Stylesheet,internal_anchor,For HTML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Stylesheet
NavigableString,#NavigableString,internal_anchor,For HTML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
¶,#Script,internal_anchor,For HTML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Script
NavigableString,#NavigableString,internal_anchor,For HTML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
¶,#Template,internal_anchor,For HTML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Template
NavigableString,#NavigableString,internal_anchor,For HTML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
NavigableString,#NavigableString,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
Comment,#Comment,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Comment
NavigableString,#NavigableString,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
¶,#Declaration,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Declaration
NavigableString,#NavigableString,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
declaration,https://www.w3.org/TR/REC-xml/#sec-prolog-dtd,external_link,For XML documents ¶,https://www.w3.org/TR/REC-xml/#sec-prolog-dtd
¶,#Doctype,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Doctype
NavigableString,#NavigableString,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
document type declaration,https://www.w3.org/TR/REC-xml/#dt-doctype,external_link,For XML documents ¶,https://www.w3.org/TR/REC-xml/#dt-doctype
¶,#CData,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#CData
NavigableString,#NavigableString,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
CData section,https://www.w3.org/TR/REC-xml/#sec-cdata-sect,external_link,For XML documents ¶,https://www.w3.org/TR/REC-xml/#sec-cdata-sect
¶,#ProcessingInstruction,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#ProcessingInstruction
NavigableString,#NavigableString,internal_anchor,For XML documents ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
XML processing instruction,https://www.w3.org/TR/REC-xml/#sec-pi,external_link,For XML documents ¶,https://www.w3.org/TR/REC-xml/#sec-pi
¶,#going-down,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#going-down
¶,#navigating-using-tag-names,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#navigating-using-tag-names
Searching the tree,#searching-the-tree,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#searching-the-tree
¶,#contents-and-children,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#contents-and-children
Modifying the tree,#modifying-the-tree,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#modifying-the-tree
¶,#descendants,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#descendants
¶,#string,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#string
NavigableString,#NavigableString,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
¶,#strings-and-stripped-strings,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#strings-and-stripped-strings
¶,#going-up,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#going-up
¶,#parent,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#parent
¶,#parents,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#parents
¶,#self-and-parents,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#self-and-parents
¶,#going-sideways,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#going-sideways
¶,#next-sibling-and-previous-sibling,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#next-sibling-and-previous-sibling
¶,#next-siblings-and-previous-siblings,internal_anchor,Navigating the tree ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#next-siblings-and-previous-siblings
